+------------+--------------------+--------------------+--------------------------+---------------------+-----------------------------+---------------------------+
| Run Number | Disk.mdot(msol/yr) | Wind.mdot(msol/yr) | KWD.d(in_units_of_rstar) | KWD.mdot_r_exponent | KWD.acceleration_length(cm) | KWD.acceleration_exponent |
|    122     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|    123     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|    124     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|    125     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|    126     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|    127     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|    128     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|    129     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|    130     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|    131     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|    132     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|    133     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|    134     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|    135     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|    136     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|    137     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|    138     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|    139     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|    140     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|    141     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|    142     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|    143     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|    144     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|    145     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|    146     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|    147     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|    148     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|    149     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|    150     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|    151     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|    152     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|    153     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|    154     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|    155     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|    156     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|    157     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|    158     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|    159     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|    160     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|    161     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|    162     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|    163     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|    164     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|    165     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|    166     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|    167     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|    168     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|    169     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|    170     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|    171     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|    172     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|    173     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|    174     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|    175     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|    176     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|    177     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|    178     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|    179     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|    180     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|    181     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|    182     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|    183     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|    184     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|    185     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|    186     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|    187     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|    188     |     3.000e-09      |     9.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|    189     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|    190     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|    191     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|    192     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|    193     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|    194     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
